city_code,name,postal_code,address,phone,official_url,source_url,verified_at
23100,名古屋市役所,460-8508,名古屋市中区三の丸3-1-1,052-961-1111,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23101,名古屋市千種区役所,464-8644,名古屋市千種区星が丘山手103,052-762-3111,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23102,名古屋市東区役所,461-8640,名古屋市東区筒井1-7-74,052-935-2271,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23103,名古屋市北区役所,462-8511,名古屋市北区清水4-17-1,052-911-3131,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23104,名古屋市西区役所,451-8508,名古屋市西区花の木2-18-1,052-521-5311,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23105,名古屋市中村区役所,453-8501,名古屋市中村区松原町1-23-1,052-483-8161,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23106,名古屋市中区役所,460-8447,名古屋市中区栄4-1-8,052-241-3601,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23107,名古屋市昭和区役所,466-8585,名古屋市昭和区阿由知通3-19,052-731-1511,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23108,名古屋市瑞穂区役所,467-8531,名古屋市瑞穂区瑞穂通3-32,052-841-1521,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23109,名古屋市熱田区役所,456-8501,名古屋市熱田区神宮3-1-15,052-681-1431,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23110,名古屋市中川区役所,454-8501,名古屋市中川区高畑1-223,052-362-1111,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23111,名古屋市港区役所,455-8520,名古屋市港区港明1-12-20,052-651-3251,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23112,名古屋市南区役所,457-8508,名古屋市南区前浜通3-10,052-811-5161,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23113,名古屋市守山区役所,463-8510,名古屋市守山区小幡1-3-1,052-793-3434,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23114,名古屋市緑区役所,458-8585,名古屋市緑区青山2-15,052-621-2111,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23115,名古屋市名東区役所,465-8508,名古屋市名東区上社2-50,052-773-1111,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23116,名古屋市天白区役所,468-8510,名古屋市天白区島田2-201,052-803-1111,https://www.city.nagoya.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23201,豊橋市役所,440-8501,豊橋市今橋町1,0532-51-2111,https://www.city.toyohashi.lg.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23202,岡崎市役所,444-8601,岡崎市十王町2-9,0564-23-6000,https://www.city.okazaki.lg.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23203,一宮市役所,491-8501,一宮市本町2-5-6,0586-28-8100,https://www.city.ichinomiya.aichi.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23204,瀬戸市役所,489-8701,瀬戸市追分町64-1,0561-82-7111,http://www.city.seto.aichi.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23205,半田市役所,475-8666,半田市東洋町2-1,0569-21-3111,https://www.city.handa.lg.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23206,春日井市役所,486-8686,春日井市鳥居松町5-44,0568-81-5111,https://www.city.kasugai.lg.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
23207,豊川市役所,442-8601,豊川市諏訪1-1,0533-89-2111,https://www.city.toyokawa.lg.jp/,"https://www.pref.aichi.jp/soshiki/shichoson/0000000276.html,https://www.pref.aichi.jp/site/userguide/link-citytown.html",2026-07-07
