city_code,name,postal_code,address,phone,official_url,source_url,verified_at
05201,秋田市役所,010-8560,秋田市山王一丁目1番1号,018-863-2222,https://www.city.akita.lg.jp/,https://www.city.akita.lg.jp/,2026-07-06
05202,能代市役所,016-8501,能代市上町1番3号,0185-52-2111,https://www.city.noshiro.lg.jp/,https://www.city.noshiro.lg.jp/,2026-07-06
05203,横手市役所,013-8601,横手市中央町8番2号,0182-35-2111,https://www.city.yokote.lg.jp/,https://www.city.yokote.lg.jp/,2026-07-06
05204,大館市役所,017-8555,大館市字中城20番地,0186-49-3111,http://www.city.odate.akita.jp/,https://www.city.odate.lg.jp/city/koukyoushisetsu/annai/shisho,2026-07-06
05206,男鹿市役所,010-0595,男鹿市船川港船川字泉台66-1,0185-23-2111,https://www.city.oga.akita.jp/,https://www.city.oga.akita.jp/living_information/shiseijoho/kyuyo_teiinkanri/2488.html,2026-07-06
05207,湯沢市役所,012-8501,湯沢市佐竹町1番1号,0183-73-2111,https://www.city-yuzawa.jp/,https://www.city-yuzawa.jp/,2026-07-06
05209,鹿角市役所,018-5292,鹿角市花輪字荒田4番地1,0186-30-0203,https://www.city.kazuno.lg.jp/,https://www.city.kazuno.lg.jp/,2026-07-06
05210,由利本荘市役所,015-8501,由利本荘市尾崎17番地,0184-24-3321,https://www.city.yurihonjo.lg.jp/,https://www.city.yurihonjo.lg.jp/,2026-07-06
05211,潟上市役所,010-0201,潟上市天王字棒沼台226番地1,018-853-5301,https://www.city.katagami.lg.jp/,https://www.city.katagami.lg.jp/gyosei/gyoseijoho/jinji/2819.html,2026-07-06
05212,大仙市役所,014-8601,大仙市大曲花園町1-1,0187-63-1111,https://www.city.daisen.lg.jp/,https://www.city.daisen.lg.jp/,2026-07-06
05213,北秋田市役所,018-3392,北秋田市花園町19番1号,0186-62-1111,https://www.city.kitaakita.akita.jp/,https://www.city.kitaakita.akita.jp/,2026-07-06
05214,にかほ市役所,018-0192,にかほ市象潟町字浜ノ田1,0184-43-3200,https://www.city.nikaho.akita.jp/,https://www.city.nikaho.akita.jp/soshikikarasagasu/somuka/gyomuannai/9/2/teiinkanri/930.html,2026-07-06
05215,仙北市役所,014-1298,仙北市田沢湖生保内字宮ノ後30,0187-43-1111,https://www.city.semboku.akita.jp/,https://www.city.semboku.akita.jp/,2026-07-06
05303,小坂町役場,017-0292,鹿角郡小坂町小坂字上谷地41-1,0186-29-3901,https://www.town.kosaka.akita.jp/,https://www.town.kosaka.akita.jp/,2026-07-06
05327,上小阿仁村役場,018-4494,北秋田郡上小阿仁村小沢田字向川原118番地,0186-77-2221,https://www.vill.kamikoani.akita.jp/,https://www.vill.kamikoani.akita.jp/,2026-07-06
05346,藤里町役場,018-3201,山本郡藤里町藤琴字藤琴8番地,0185-79-2111,http://www.town.fujisato.akita.jp/,http://www.town.fujisato.akita.jp/,2026-07-06
05348,三種町役場,018-2401,山本郡三種町鵜川字岩谷子8,0185-85-2111,https://www.town.mitane.akita.jp/,https://www.town.mitane.akita.jp/,2026-07-06
05349,八峰町役場,018-2502,山本郡八峰町峰浜目名潟字目長田118,0185-76-2111,https://www.town.happo.lg.jp/,https://www.town.happo.lg.jp/,2026-07-06
05361,五城目町役場,018-1792,南秋田郡五城目町西磯ノ目1丁目1-1,018-852-5100,https://www.town.gojome.akita.jp/,https://www.town.gojome.akita.jp/,2026-07-06
05363,八郎潟町役場,018-1692,南秋田郡八郎潟町字大道80番地,018-875-5800,https://www.town.hachirogata.akita.jp/,https://www.town.hachirogata.akita.jp/,2026-07-06
05366,井川町役場,018-1596,南秋田郡井川町北川尻字海老沢樋ノ口78-1,018-874-4411,http://www.town.ikawa.akita.jp/,http://www.town.ikawa.akita.jp/,2026-07-06
05368,大潟村役場,010-0494,南秋田郡大潟村字中央1-1,0185-45-2111,https://www.vill.ogata.akita.jp/,https://www.vill.ogata.akita.jp/archive/contents-106,2026-07-06
05434,美郷町役場,019-1541,仙北郡美郷町土崎字上野乙170番地10,0187-84-1111,https://www.town.misato.akita.jp/,https://www.town.misato.akita.jp/,2026-07-06
05463,羽後町役場,012-1131,雄勝郡羽後町西馬音内字中野177,0183-62-2111,https://www.town.ugo.lg.jp/,https://www.town.ugo.lg.jp/,2026-07-06
05464,東成瀬村役場,019-0801,雄勝郡東成瀬村田子内字仙人下30-1,0182-47-3401,https://vill.higashinaruse.lg.jp/,https://vill.higashinaruse.lg.jp/villager/post-30377/,2026-07-06
