city_code,name,postal_code,address,phone,official_url,source_url,verified_at
02201,青森市役所,030-8555,青森市中央1-22-5,017-734-1111,https://www.city.aomori.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02202,弘前市役所,036-8551,弘前市大字上白銀町1-1,0172-35-1111,https://www.city.hirosaki.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02203,八戸市役所,031-8686,八戸市内丸1-1-1,0178-43-2111,https://www.city.hachinohe.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02204,黒石市役所,036-0396,黒石市大字市ノ町11-1,0172-52-2111,https://www.city.kuroishi.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02205,五所川原市役所,037-8686,五所川原市字布屋町41番地1,0173-35-2111,https://www.city.goshogawara.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02206,十和田市役所,034-8615,十和田市西十二番町6番1号,0176-23-5111,https://www.city.towada.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02207,三沢市役所,033-8666,三沢市桜町1-1-38,0176-53-5111,https://www.city.misawa.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02208,むつ市役所,035-8686,むつ市中央一丁目8番1号,0175-22-1111,https://www.city.mutsu.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02209,つがる市役所,038-3192,つがる市木造若緑61-1,0173-42-2111,https://www.city.tsugaru.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02210,平川市役所,036-0104,平川市柏木町藤山25-6,0172-44-1111,https://www.city.hirakawa.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02301,平内町役場,039-3321,平内町大字小湊字小湊63,017-755-2111,https://www.town.hiranai.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02303,今別町役場,030-1502,今別町大字今別字今別167,0174-35-2001,https://www.town.imabetsu.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02304,蓬田村役場,030-1212,蓬田村大字阿弥陀川字汐干126-1,0174-27-2111,https://www.vill.yomogita.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02307,外ヶ浜町役場,030-1393,外ヶ浜町字蟹田高銅屋44-2,0174-31-1111,https://www.town.sotogahama.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02321,鰺ヶ沢町役場,038-2792,鰺ヶ沢町大字舞戸町字鳴戸321番地,0173-72-2111,https://www.town.ajigasawa.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02323,深浦町役場,038-2324,深浦町大字深浦字苗代沢84-2,0173-74-2111,https://www.town.fukaura.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02343,西目屋村役場,036-1492,西目屋村大字田代字神田57,0172-85-2111,https://www.nishimeya.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02361,藤崎町役場,038-3803,藤崎町大字西豊田一丁目1番地,0172-75-3111,https://www.town.fujisaki.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02362,大鰐町役場,038-0211,南津軽郡大鰐町大字大鰐字羽黒館5-3,0172-48-2111,http://www.town.owani.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02367,田舎館村役場,038-1113,田舎館村大字田舎舘字中辻123-1,0172-58-2111,http://www.vill.inakadate.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02381,板柳町役場,038-3692,板柳町大字板柳字土井239-3,0172-73-2111,https://www.town.itayanagi.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02384,鶴田町役場,038-3595,鶴田町大字鶴田字早瀬200番地1,0173-22-2111,https://www.town.tsuruta.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02387,中泊町役場,037-0392,中泊町大字中里字紅葉坂209番地,0173-57-2111,https://www.town.nakadomari.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02401,野辺地町役場,039-3131,野辺地町字野辺地123番地1,0175-64-2111,https://www.town.noheji.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02402,七戸町役場,039-2792,七戸町字森ノ上131-4,0176-68-2111,https://www.town.shichinohe.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02405,六戸町役場,039-2392,六戸町大字犬落瀬字前谷地60,0176-55-3111,https://www.town.rokunohe.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02406,横浜町役場,039-4145,横浜町字寺下35,0175-78-2111,https://www.town.yokohama.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02408,東北町役場,039-2492,東北町上北南四丁目32-484,0176-56-3111,https://www.town.tohoku.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02411,六ヶ所村役場,039-3212,六ヶ所村大字尾駮字野附475,0175-72-2111,https://www.rokkasho.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02412,おいらせ町役場,039-2192,おいらせ町中下田135-2,0178-56-2111,https://www.town.oirase.aomori.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02423,大間町役場,039-4601,大間町大字大間字奥戸下道20番地4,0175-37-2111,https://www.town.ooma.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02424,東通村役場,039-4292,東通村大字砂子又字沢内5-34,0175-27-2111,http://www.vill.higashidoori.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02425,風間浦村役場,039-4502,風間浦村大字易国間字大川目28-5,0175-35-2111,https://www.kazamaura.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
02426,佐井村役場,039-4711,佐井村大字佐井字糠森20,0175-38-2111,https://www.vill.sai.lg.jp/,https://www.pref.aomori.lg.jp/soshiki/soumu/shichoson/sityouson-handbook.html,2026-07-06
