city_code,name,postal_code,address,phone,official_url,source_url,verified_at
18201,福井市役所,910-8511,福井市大手3丁目10-1,0776-20-5111,https://www.city.fukui.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18202,敦賀市役所,914-8501,敦賀市中央町2丁目1-1,0770-21-1111,https://www.city.tsuruga.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18204,小浜市役所,917-8585,小浜市大手町6-3,0770-53-1111,https://www1.city.obama.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18205,大野市役所,912-8666,大野市天神町1-1,0779-66-1111,https://www.city.ono.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18206,勝山市役所,911-8501,勝山市元町1丁目1-1,0779-88-1111,https://www.city.katsuyama.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18207,鯖江市役所,916-8666,鯖江市西山町13-1,0778-51-2200,https://www.city.sabae.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18208,あわら市役所,919-0692,あわら市市姫3丁目1-1,0776-73-1221,https://www.city.awara.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18209,越前市役所,915-8530,越前市府中1丁目13-7,0778-22-3000,https://www.city.echizen.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18210,坂井市役所,919-0592,坂井市坂井町下新庄1-1,0776-66-1500,https://www.city.fukui-sakai.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18322,永平寺町役場,910-1192,吉田郡永平寺町松岡春日1丁目4,0776-61-1111,https://www.town.eiheiji.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18382,池田町役場,910-2512,今立郡池田町稲荷35-4,0778-44-6000,https://www.town.ikeda.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18404,南越前町役場,919-0292,南条郡南越前町東大道29-1,0778-47-3000,https://www.town.minamiechizen.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18423,越前町役場,916-0192,丹生郡越前町西田中13-5-1,0778-34-1234,https://www.town.echizen.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18442,美浜町役場,919-1192,三方郡美浜町郷市25-25,0770-32-1111,https://www.town.fukui-mihama.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18481,高浜町役場,919-2292,大飯郡高浜町宮崎86-23-2,0770-72-1111,https://www.town.takahama.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18483,おおい町役場,919-2111,大飯郡おおい町本郷136-1-1,0770-77-1111,https://www.town.ohi.fukui.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
18501,若狭町役場,919-1393,三方上中郡若狭町中央1-1,0770-45-1111,https://www.town.fukui-wakasa.lg.jp/,https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki.html (PDF: https://www.pref.fukui.lg.jp/doc/sityousinkou/renrakusaki_d/fil/001.pdf),2026-07-07
