city_code,name,postal_code,address,phone,official_url,source_url,verified_at
21201,岐阜市役所,500-8701,岐阜市司町40-1,058-265-4141,http://www.city.gifu.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21202,大垣市役所,503-8601,大垣市丸の内2-29,0584-81-4111,http://www.city.ogaki.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21203,高山市役所,506-8555,高山市花岡町2-18,0577-32-3333,http://www.city.takayama.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21204,多治見市役所,507-8703,多治見市日ノ出町2-15,0572-22-1111,http://www.city.tajimi.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21205,関市役所,501-3894,関市若草通3-1,0575-22-3131,http://www.city.seki.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21206,中津川市役所,508-8501,中津川市かやの木町2-1,0573-66-1111,http://www.city.nakatsugawa.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21207,美濃市役所,501-3792,美濃市1350,0575-33-1122,http://www.city.mino.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21208,瑞浪市役所,509-6195,瑞浪市上平町1-1,0572-68-2111,http://www.city.mizunami.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21209,羽島市役所,501-6292,羽島市竹鼻町55,058-392-1111,http://www.city.hashima.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21210,恵那市役所,509-7292,恵那市長島町正家1-1-1,0573-26-2111,http://www.city.ena.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21211,美濃加茂市役所,505-8606,美濃加茂市太田町3431-1,0574-25-2111,https://www.city.minokamo.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21212,土岐市役所,509-5192,土岐市土岐津町土岐口2101,0572-54-1111,http://www.city.toki.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21213,各務原市役所,504-8555,各務原市那加桜町1-69,058-383-1111,http://www.city.kakamigahara.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21214,可児市役所,509-0292,可児市広見1-1,0574-62-1111,http://www.city.kani.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21215,山県市役所,501-2192,山県市高木1000-1,0581-22-2111,http://www.city.yamagata.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21216,瑞穂市役所,501-0293,瑞穂市別府1288,058-327-4111,http://www.city.mizuho.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21217,飛騨市役所,509-4292,飛騨市古川町本町2-22,0577-73-2111,http://www.city.hida.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21218,本巣市役所,501-0491,本巣市早野255,058-323-1155,http://www.city.motosu.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21219,郡上市役所,501-4297,郡上市八幡町島谷228,0575-67-1121,http://www.city.gujo.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21220,下呂市役所,509-2295,下呂市森960,0576-24-2222,http://www.city.gero.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21221,海津市役所,503-0695,海津市海津町高須515,0584-53-1111,https://www.city.kaizu.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21302,岐南町役場,501-6197,羽島郡岐南町八剣7-107,058-247-1331,https://www.town.ginan.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21303,笠松町役場,501-6181,羽島郡笠松町司町1,058-388-1111,http://www.town.kasamatsu.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21341,養老町役場,503-1392,養老郡養老町高田798,0584-32-1100,http://www.town.yoro.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21361,垂井町役場,503-2193,不破郡垂井町宮代2957-11,0584-22-1151,http://www.town.tarui.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21362,関ケ原町役場,503-1592,不破郡関ケ原町大字関ケ原894-58,0584-43-1111,http://www.town.sekigahara.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21381,神戸町役場,503-2392,安八郡神戸町大字神戸1111,0584-27-3111,http://www.town.godo.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21382,輪之内町役場,503-0292,安八郡輪之内町四郷2530-1,0584-69-3111,http://town.wanouchi.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21383,安八町役場,503-0198,安八郡安八町氷取161,0584-64-3111,http://www.town.anpachi.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21401,揖斐川町役場,501-0692,揖斐郡揖斐川町三輪133,0585-22-2111,http://www.town.ibigawa.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21403,大野町役場,501-0592,揖斐郡大野町大字大野80,0585-34-1111,https://www.town-ono.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21404,池田町役場,503-2492,揖斐郡池田町六之井1468-1,0585-45-3111,http://www.town.ikeda.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21421,北方町役場,501-0492,本巣郡北方町長谷川1-1,058-323-1111,http://www.town.kitagata.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21501,坂祝町役場,505-8501,加茂郡坂祝町取組46-18,0574-26-7111,http://www.town.sakahogi.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21502,富加町役場,501-3392,加茂郡富加町滝田1511,0574-54-2111,http://www.town.tomika.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21503,川辺町役場,509-0393,加茂郡川辺町中川辺1518-4,0574-53-2511,http://www.kawabe-gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21504,七宗町役場,509-0492,加茂郡七宗町上麻生2442-3,0574-48-1111,http://www.hichiso.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21505,八百津町役場,505-0392,加茂郡八百津町八百津3903-2,0574-43-2111,https://www.town.yaotsu.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21506,白川町役場,509-1192,加茂郡白川町河岐715,0574-72-1311,http://www.town.shirakawa.lg.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
21507,東白川村役場,509-1392,加茂郡東白川村神土548,0574-78-3111,http://www.vill.higashishirakawa.gifu.jp/,https://www.pref.gifu.lg.jp/page/6058.html,2026-07-07
