city_code,name,postal_code,address,phone,official_url,source_url,verified_at
17201,金沢市役所,920-8577,金沢市広坂1-1-1,076-220-2111,https://www4.city.kanazawa.lg.jp/index.html,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17202,七尾市役所,926-8611,七尾市袖ヶ江町イ部25,0767-53-1111,http://www.city.nanao.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17203,小松市役所,923-8650,小松市小馬出町91,0761-22-4111,http://www.city.komatsu.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17204,輪島市役所,928-8525,輪島市二ツ屋2字29,0768-22-2211,http://www.city.wajima.ishikawa.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17205,珠洲市役所,927-1295,珠洲市上戸町北方1字6-2,0768-82-2222,https://www.city.suzu.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17206,加賀市役所,922-8622,加賀市大聖寺南町ニ41,0761-72-1111,http://www.city.kaga.ishikawa.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17207,羽咋市役所,925-8501,羽咋市旭町ア200,0767-22-1111,https://www.city.hakui.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17209,かほく市役所,929-1195,かほく市宇野気ニ81,076-283-1111,http://www.city.kahoku.ishikawa.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17210,白山市役所,924-8688,白山市倉光2-1,076-276-1111,https://www.city.hakusan.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17211,能美市役所,923-1297,能美市来丸町1110番地,0761-58-1111,http://www.city.nomi.ishikawa.jp/index.html,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17212,野々市市役所,921-8510,野々市市三納1-1,076-227-6000,http://www.city.nonoichi.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17324,川北町役場,923-1295,能美郡川北町壱ツ屋174,076-277-1111,http://www.town.kawakita.ishikawa.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17361,津幡町役場,929-0393,河北郡津幡町加賀爪ニ3,076-288-2121,http://www.town.tsubata.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17365,内灘町役場,920-0292,河北郡内灘町大学1-2-1,076-286-1111,http://www.town.uchinada.lg.jp/webapps/www/index.jsp,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17384,志賀町役場,925-0198,羽咋郡志賀町末吉千古1-1,0767-32-1111,http://www.town.shika.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17386,宝達志水町役場,929-1492,羽咋郡宝達志水町子浦そ18-1,0767-29-3111,https://www.hodatsushimizu.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17407,中能登町役場,929-1792,鹿島郡中能登町末坂9部46,0767-74-1234,https://www.town.nakanoto.ishikawa.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17461,穴水町役場,927-8601,鳳珠郡穴水町川島ラ174,0768-52-0300,https://www.town.anamizu.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
17463,能登町役場,927-0492,鳳珠郡能登町字宇出津ト字50番地1,0768-62-1000,http://www.town.noto.lg.jp/,https://www.pref.ishikawa.lg.jp/sichousien/kennaiichiran2.html,2026-07-07
