city_code,name,postal_code,address,phone,official_url,source_url,verified_at
03201,盛岡市役所,020-8530,盛岡市内丸12-2,019-651-4111,https://www.city.morioka.iwate.jp/,https://www.city.morioka.iwate.jp/,2026-07-06
03202,宮古市役所,027-8501,宮古市宮町一丁目1番30号,0193-62-2111,https://www.city.miyako.iwate.jp/,https://www.city.miyako.iwate.jp/gyosei/soshiki/somu/12/69.html,2026-07-06
03203,大船渡市役所,022-8501,大船渡市盛町字宇津野沢15,0192-27-3111,https://www.city.ofunato.iwate.jp/,https://www.city.ofunato.iwate.jp/,2026-07-06
03205,花巻市役所,025-8601,花巻市花城町9番30号,0198-24-2111,https://www.city.hanamaki.iwate.jp/,https://www.city.hanamaki.iwate.jp/,2026-07-06
03206,北上市役所,024-8501,北上市芳町1-1,0197-64-2111,http://www.city.kitakami.iwate.jp/,https://www.city.kitakami.iwate.jp/,2026-07-06
03207,久慈市役所,028-8030,久慈市川崎町1番1号,0194-52-2111,https://www.city.kuji.lg.jp/,https://www.city.kuji.lg.jp/gyosei_joho/jinji/3/index.html,2026-07-06
03208,遠野市役所,028-0592,遠野市中央通り9番1号,0198-62-2111,http://www.city.tono.iwate.jp/,"http://www.city.tono.iwate.jp/index.cfm/49,21199,263,541,html",2026-07-06
03209,一関市役所,021-8501,一関市竹山町7番2号,0191-21-2111,https://www.city.ichinoseki.iwate.jp/,https://www.city.ichinoseki.iwate.jp/,2026-07-06
03210,陸前高田市役所,029-2292,陸前高田市高田町字下和野100番地,0192-54-2111,https://www.city.rikuzentakata.iwate.jp/,https://www.city.rikuzentakata.iwate.jp/,2026-07-06
03211,釜石市役所,026-8686,釜石市只越町3丁目9番13号,0193-22-2111,https://www.city.kamaishi.iwate.jp/,https://www.city.kamaishi.iwate.jp/,2026-07-06
03213,二戸市役所,028-6192,二戸市福岡字川又47番地,0195-23-3111,https://www.city.ninohe.lg.jp/,https://www.city.ninohe.lg.jp/,2026-07-06
03214,八幡平市役所,028-7397,八幡平市野駄21-170,0195-74-2111,https://www.city.hachimantai.lg.jp/,https://www.city.hachimantai.lg.jp/,2026-07-06
03215,奥州市役所,023-8501,奥州市水沢大手町一丁目1番地,0197-24-2111,https://www.city.oshu.iwate.jp/,https://www.city.oshu.iwate.jp/,2026-07-06
03216,滝沢市役所,020-0692,滝沢市中鵜飼55,019-684-2111,https://www.city.takizawa.iwate.jp/,https://www.city.takizawa.iwate.jp/,2026-07-06
03301,雫石町役場,020-0595,岩手郡雫石町千刈田5番地1,019-692-2111,https://www.town.shizukuishi.iwate.jp/,https://www.town.shizukuishi.iwate.jp/docs/2021042200041/,2026-07-06
03302,葛巻町役場,028-5495,岩手郡葛巻町葛巻16-1-1,0195-66-2111,https://www.town.kuzumaki.iwate.jp/,https://www.town.kuzumaki.iwate.jp/,2026-07-06
03303,岩手町役場,028-4395,岩手郡岩手町大字五日市10-44,0195-62-2111,https://town.iwate.iwate.jp/,https://town.iwate.iwate.jp/,2026-07-06
03321,紫波町役場,028-3392,紫波郡紫波町紫波中央駅前二丁目3番地1,019-672-2111,https://www.town.shiwa.iwate.jp/,https://www.town.shiwa.iwate.jp/,2026-07-06
03322,矢巾町役場,028-3692,紫波郡矢巾町大字南矢幅第13地割123番地,019-697-2111,https://www.town.yahaba.iwate.jp/,https://www.town.yahaba.iwate.jp/,2026-07-06
03366,西和賀町役場,029-5692,和賀郡西和賀町沢内字太田2地割81番地1,0197-82-2111,https://www.town.nishiwaga.lg.jp/,https://www.town.nishiwaga.lg.jp/,2026-07-06
03381,金ケ崎町役場,029-4592,胆沢郡金ケ崎町西根南町22-1,0197-42-2111,https://www.town.kanegasaki.iwate.jp/,https://www.town.kanegasaki.iwate.jp/,2026-07-06
03402,平泉町役場,029-4192,西磐井郡平泉町平泉字志羅山45-2,0191-46-2111,https://www.town.hiraizumi.iwate.jp/,https://www.town.hiraizumi.iwate.jp/category/town-administration/personnel-salary-recruitment/salary-staff-management/,2026-07-06
03441,住田町役場,029-2396,気仙郡住田町世田米字川向88番地1,0192-46-2111,https://www.town.sumita.iwate.jp/,https://www.town.sumita.iwate.jp/,2026-07-06
03461,大槌町役場,028-1192,上閉伊郡大槌町上町1番3号,0193-42-2111,https://www.town.otsuchi.iwate.jp/,https://www.town.otsuchi.iwate.jp/gyosei/docs/R3kouhyou.html,2026-07-06
03482,山田町役場,028-1392,下閉伊郡山田町八幡町3番20号,0193-82-3111,https://www.town.yamada.iwate.jp/,https://www.town.yamada.iwate.jp/,2026-07-06
03483,岩泉町役場,027-0595,下閉伊郡岩泉町岩泉字惣畑59番地5,0194-22-2111,https://www.town.iwaizumi.lg.jp/,https://www.town.iwaizumi.lg.jp/,2026-07-06
03484,田野畑村役場,028-8407,下閉伊郡田野畑村田野畑143-1,0194-34-2111,https://www.vill.tanohata.iwate.jp/,https://www.vill.tanohata.iwate.jp/,2026-07-06
03485,普代村役場,028-8392,下閉伊郡普代村第9地割字銅屋13番地2,0194-35-2111,https://www.vill.fudai.iwate.jp/,https://www.vill.fudai.iwate.jp/,2026-07-06
03501,軽米町役場,028-6302,九戸郡軽米町大字軽米10-85,0195-46-2111,https://www.town.karumai.iwate.jp/,https://www.town.karumai.iwate.jp/,2026-07-06
03503,野田村役場,028-8201,九戸郡野田村大字野田第20地割14番地,0194-78-2111,https://www.vill.noda.iwate.jp/,https://www.vill.noda.iwate.jp/,2026-07-06
03506,九戸村役場,028-6502,九戸郡九戸村大字伊保内第10地割11番地6,0195-42-2111,http://www.vill.kunohe.iwate.jp/,http://www.vill.kunohe.iwate.jp/,2026-07-06
03507,洋野町役場,028-8802,九戸郡洋野町大野8-47-2,0194-65-2111,https://www.town.hirono.iwate.jp/,https://www.town.hirono.iwate.jp/,2026-07-06
03524,一戸町役場,028-5311,二戸郡一戸町高善寺字大川鉢24番地9,0195-33-2111,https://www.town.ichinohe.iwate.jp/,https://www.town.ichinohe.iwate.jp/soshikikarasagasu/somuka/gyouseikakari/2103.html,2026-07-06
