city_code,name,postal_code,address,phone,official_url,source_url,verified_at
37201,高松市役所,760-8571,高松市番町一丁目8番15号,087-839-2011,http://www.city.takamatsu.kagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37202,丸亀市役所,763-8501,丸亀市大手町二丁目4番21号,0877-23-2111,https://www.city.marugame.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37203,坂出市役所,762-8601,坂出市室町二丁目3番5号,0877-46-3111,http://www.city.sakaide.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37204,善通寺市役所,765-8503,善通寺市文京町二丁目1番1号,0877-62-2121,http://www.city.zentsuji.kagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37205,観音寺市役所,768-8601,観音寺市坂本町一丁目1番1号,0875-23-3900,http://www.city.kanonji.kagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37206,さぬき市役所,769-2195,さぬき市志度5385番地8,087-894-1111,https://www.city.sanuki.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37207,東かがわ市役所,769-2792,東かがわ市湊1847番地1,0879-26-1214,http://www.higashikagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37208,三豊市役所,767-8585,三豊市高瀬町下勝間2373番地1,0875-73-3000,https://www.city.mitoyo.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37322,土庄町役場,761-4192,小豆郡土庄町淵崎甲1400番地2,0879-62-7000,http://www.town.tonosho.kagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37324,小豆島町役場,761-4492,小豆郡小豆島町片城甲44番地95,0879-82-7000,http://www.town.shodoshima.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37341,三木町役場,761-0692,木田郡三木町大字氷上310番地,087-891-3300,http://www.town.miki.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37364,直島町役場,761-3110,香川郡直島町1122番地1,087-892-2222,http://www.town.naoshima.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37386,宇多津町役場,769-0292,綾歌郡宇多津町1881番地,0877-49-0511,https://www.town.utazu.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37387,綾川町役場,761-2392,綾歌郡綾川町滝宮299番地,087-876-1111,https://www.town.ayagawa.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37403,琴平町役場,766-8502,仲多度郡琴平町榎井817番地10,0877-75-6700,http://www.town.kotohira.kagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37404,多度津町役場,764-8501,仲多度郡多度津町栄町三丁目3番95号,0877-33-1110,http://www.town.tadotsu.kagawa.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
37406,まんのう町役場,766-8503,仲多度郡まんのう町吉野下430番地,0877-73-0100,https://www.town.manno.lg.jp/,https://www.pref.kagawa.lg.jp/kocho/shokai/profile/w3cz95150312151105.html (市町公式リンク集) + 各市町公式サイト,2026-07-07
