city_code,name,postal_code,address,phone,official_url,source_url,verified_at
46201,鹿児島市役所,892-8677,鹿児島市山下町11-1,099-224-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46203,鹿屋市役所,893-8501,鹿屋市共栄町20-1,0994-43-2111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46204,枕崎市役所,898-8501,枕崎市千代田町27,0993-72-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46206,阿久根市役所,899-1696,阿久根市鶴見町200,0996-73-1211,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46208,出水市役所,899-0292,出水市緑町1-3,0996-63-2111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46210,指宿市役所,891-0497,指宿市十町2424,0993-22-2111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46213,西之表市役所,891-3193,西之表市西之表7612,0997-22-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46214,垂水市役所,891-2192,垂水市上町114,0994-32-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46215,薩摩川内市役所,895-8650,薩摩川内市神田町3-22,0996-23-5111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46216,日置市役所,899-2592,日置市伊集院町郡1-100,099-273-2111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46217,曽於市役所,899-8692,曽於市末吉町二之方1980,0986-76-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46218,霧島市役所,899-4394,霧島市国分中央3-45-1,0995-45-5111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46219,いちき串木野市役所,896-8601,いちき串木野市昭和通133-1,0996-32-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46220,南さつま市役所,897-8501,南さつま市加世田川畑2648,0993-53-2111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46221,志布志市役所,899-7192,志布志市志布志町志布志2-1-1,099-472-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46222,奄美市役所,894-8555,奄美市名瀬幸町25-8,0997-52-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46223,南九州市役所,897-0392,南九州市知覧町郡6204,0993-83-2511,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46224,伊佐市役所,895-2511,伊佐市大口里1888,0995-23-1311,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46225,姶良市役所,899-5492,姶良市宮島町25,0995-66-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46303,三島村役場,892-0821,鹿児島市名山町12-18,099-222-3141,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46304,十島村役場,892-0822,鹿児島市泉町14-15,099-222-2101,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46392,さつま町役場,895-1803,薩摩郡さつま町宮之城屋地1565-2,0996-53-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46404,長島町役場,899-1498,出水郡長島町鷹巣1875-1,0996-86-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46452,湧水町役場,899-6292,姶良郡湧水町木場222,0995-74-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46468,大崎町役場,899-7305,曽於郡大崎町假宿1029,099-476-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46482,東串良町役場,893-1693,肝属郡東串良町川西1543,0994-63-3131,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46490,錦江町役場,893-2392,肝属郡錦江町城元963,0994-22-0511,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46491,南大隅町役場,893-2501,肝属郡南大隅町根占川北226,0994-24-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46492,肝付町役場,893-1207,肝属郡肝付町新富98,0994-65-2511,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46501,中種子町役場,891-3692,熊毛郡中種子町野間5186,0997-27-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46502,南種子町役場,891-3792,熊毛郡南種子町中之上2793-1,0997-26-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46505,屋久島町役場,891-4207,熊毛郡屋久島町小瀬田849-20,0997-43-5900,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46523,大和村役場,894-3192,大島郡大和村大和浜100,0997-57-2111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46524,宇検村役場,894-3392,大島郡宇検村湯湾字下朝戸915,0997-67-2211,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46525,瀬戸内町役場,894-1592,大島郡瀬戸内町古仁屋字船津23,0997-72-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46527,龍郷町役場,894-0192,大島郡龍郷町浦110,0997-62-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46529,喜界町役場,891-6292,大島郡喜界町湾1746,0997-65-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46530,徳之島町役場,891-7192,大島郡徳之島町亀津7203,0997-82-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46531,天城町役場,891-7692,大島郡天城町大字平土野2691-1,0997-85-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46532,伊仙町役場,891-8293,大島郡伊仙町伊仙1842,0997-86-3111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
46533,和泊町役場,891-9192,大島郡和泊町和泊10,0997-92-1111,,https://www.pref.kagoshima.jp/ab08/kensei/shityoson/gyosei/sityosonitiran.html,2026-07-07
