city_code,name,postal_code,address,phone,official_url,source_url,verified_at
14100,横浜市役所,231-0005,横浜市中区本町6-50-10,045-671-2121,https://www.city.yokohama.lg.jp/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14101,横浜市鶴見区役所,230-0051,横浜市鶴見区鶴見中央3-20-1,045-510-1818,https://www.city.yokohama.lg.jp/tsurumi/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14102,横浜市神奈川区役所,221-0824,横浜市神奈川区広台太田町3-8,045-411-7171,https://www.city.yokohama.lg.jp/kanagawa/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14103,横浜市西区役所,220-0051,横浜市西区中央1-5-10,045-320-8484,https://www.city.yokohama.lg.jp/nishi/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14104,横浜市中区役所,231-0021,横浜市中区日本大通35,045-224-8181,https://www.city.yokohama.lg.jp/naka/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14105,横浜市南区役所,232-0024,横浜市南区浦舟町2-33,045-341-1212,https://www.city.yokohama.lg.jp/minami/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14106,横浜市保土ケ谷区役所,240-0001,横浜市保土ケ谷区川辺町2-9,045-334-6262,https://www.city.yokohama.lg.jp/hodogaya/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14107,横浜市磯子区役所,235-0016,横浜市磯子区磯子3-5-1,045-750-2323,https://www.city.yokohama.lg.jp/isogo/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14108,横浜市金沢区役所,236-0021,横浜市金沢区泥亀2-9-1,045-788-7878,https://www.city.yokohama.lg.jp/kanazawa/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14109,横浜市港北区役所,222-0032,横浜市港北区大豆戸町26-1,045-540-2323,https://www.city.yokohama.lg.jp/kohoku/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14110,横浜市戸塚区役所,244-0003,横浜市戸塚区戸塚町16-17,045-866-8484,https://www.city.yokohama.lg.jp/totsuka/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14111,横浜市港南区役所,233-0003,横浜市港南区港南4-2-10,045-847-8484,https://www.city.yokohama.lg.jp/konan/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14112,横浜市旭区役所,241-0022,横浜市旭区鶴ケ峰1-4-12,045-954-6161,https://www.city.yokohama.lg.jp/asahi/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14113,横浜市緑区役所,226-0013,横浜市緑区寺山町118,045-930-2323,https://www.city.yokohama.lg.jp/midori/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14114,横浜市瀬谷区役所,246-0021,横浜市瀬谷区二ツ橋町190,045-367-5656,https://www.city.yokohama.lg.jp/seya/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14115,横浜市栄区役所,247-0005,横浜市栄区桂町303-19,045-894-8181,https://www.city.yokohama.lg.jp/sakae/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14116,横浜市泉区役所,245-0024,横浜市泉区和泉中央北5-1-1,045-800-2323,https://www.city.yokohama.lg.jp/izumi/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14117,横浜市青葉区役所,225-0024,横浜市青葉区市ケ尾町31-4,045-978-2323,https://www.city.yokohama.lg.jp/aoba/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14118,横浜市都筑区役所,224-0032,横浜市都筑区茅ケ崎中央32-1,045-948-2323,https://www.city.yokohama.lg.jp/tsuzuki/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14130,川崎市役所,210-8577,川崎市川崎区宮本町1,044-200-2111,https://www.city.kawasaki.jp/,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14131,川崎市川崎区役所,210-8570,川崎市川崎区東田町8,044-201-3113,https://www.city.kawasaki.jp/kawasaki/index.html,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14132,川崎市幸区役所,212-8570,川崎市幸区戸手本町1-11-1,044-556-6666,https://www.city.kawasaki.jp/saiwai/index.html,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14133,川崎市中原区役所,211-8570,川崎市中原区小杉町3-245,044-744-3113,https://www.city.kawasaki.jp/nakahara/index.html,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14134,川崎市高津区役所,213-8570,川崎市高津区下作延2-8-1,044-861-3113,https://www.city.kawasaki.jp/takatsu/index.html,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
14135,川崎市多摩区役所,214-8570,川崎市多摩区登戸1775-1,044-935-3113,https://www.city.kawasaki.jp/tama/index.html,https://www.pref.kanagawa.jp/docs/ie2/cnt/f530001/p780102.html,2026-07-06
