city_code,name,postal_code,address,phone,official_url,source_url,verified_at
39201,高知市役所,780-8571,高知市本町5-1-45,088-822-8111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39202,室戸市役所,781-7185,室戸市浮津25-1,0887-22-1111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39203,安芸市役所,784-8501,安芸市土居82-1,0887-34-1111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39204,南国市役所,783-8501,南国市大埇甲2301,088-863-2111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39205,土佐市役所,781-1192,土佐市高岡町甲2017-1,088-852-1111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39206,須崎市役所,785-8601,須崎市山手町1-7,0889-42-2311,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39208,宿毛市役所,788-8686,宿毛市希望ヶ丘1,0880-62-1111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39209,土佐清水市役所,787-0392,土佐清水市天神町11-2,0880-82-1111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39210,四万十市役所,787-8501,四万十市中村大橋通4-10,0880-34-1111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39211,香南市役所,781-5292,香南市野市町西野2706,0887-56-0511,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39212,香美市役所,782-8501,香美市土佐山田町宝町1-2-1,0887-53-3111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39301,東洋町役場,781-7414,安芸郡東洋町生見758-3,0887-29-3111,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39302,奈半利町役場,781-6402,安芸郡奈半利町乙1659-1,0887-38-4011,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
39303,田野町役場,781-6410,安芸郡田野町1828-5,0887-38-2811,,https://www.pref.kochi.lg.jp/doc/shozaichi-2/ (PDF: 高知県内市町村所在地等一覧 令和7年5月7日現在),2026-07-07
