city_code,name,postal_code,address,phone,official_url,source_url,verified_at
26100,京都市役所,604-8571,京都市中京区寺町通御池上る上本能寺前町488,075-222-3111,http://www.city.kyoto.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26101,京都市北区役所,603-8511,京都市北区紫野東御所田町33-1,075-432-1181,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26102,京都市上京区役所,602-8511,京都市上京区今出川通室町西入堀出シ町285,075-441-0111,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26103,京都市左京区役所,606-8511,京都市左京区松ヶ崎堂ノ上町7-2,075-702-1000,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26104,京都市中京区役所,604-8588,京都市中京区西堀川通御池下る西三坊堀川町521,075-812-0061,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26105,京都市東山区役所,605-8511,京都市東山区清水五丁目130-6,075-561-1191,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26106,京都市下京区役所,600-8588,京都市下京区西洞院通塩小路上る東塩小路町608-8,075-371-7101,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26107,京都市南区役所,601-8511,京都市南区西九条南田町1-3,075-681-3111,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26108,京都市右京区役所,616-8511,京都市右京区太秦下刑部町12,075-861-1101,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26109,京都市伏見区役所,612-8511,京都市伏見区鷹匠町39-2,075-611-1101,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26110,京都市山科区役所,607-8511,京都市山科区椥辻池尻町14-2,075-592-3050,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26111,京都市西京区役所,615-8522,京都市西京区上桂森下町25-1,075-381-7121,,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26201,福知山市役所,620-8501,福知山市字内記13-1,0773-22-6111,https://www.city.fukuchiyama.lg.jp/index2.html,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26202,舞鶴市役所,625-8555,舞鶴市字北吸1044,0773-62-2300,http://www.city.maizuru.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26203,綾部市役所,623-8501,綾部市若竹町8-1,0773-42-3280,http://www.city.ayabe.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26204,宇治市役所,611-8501,宇治市宇治琵琶33,0774-22-3141,http://www.city.uji.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26205,宮津市役所,626-8501,宮津市字柳縄手345-1,0772-22-2121,http://www.city.miyazu.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26206,亀岡市役所,621-8501,亀岡市安町野々神8,0771-22-3131,http://www.city.kameoka.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26207,城陽市役所,610-0195,城陽市寺田東ノ口16・17,0774-52-1111,http://www.city.joyo.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26208,向日市役所,617-8665,向日市寺戸町中野20,075-931-1111,http://www.city.muko.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26209,長岡京市役所,617-8501,長岡京市開田1丁目1-1,075-951-2121,http://www.city.nagaokakyo.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26210,八幡市役所,614-8501,八幡市八幡園内75,075-983-1111,http://www.city.yawata.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26211,京田辺市役所,610-0393,京田辺市田辺80,0774-63-1122,https://www.city.kyotanabe.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26212,京丹後市役所,627-8567,京丹後市峰山町杉谷889,0772-69-0001,http://www.city.kyotango.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26213,南丹市役所,622-8651,南丹市園部町小桜町47,0771-68-0001,https://www.city.nantan.kyoto.jp/www/index.html,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26214,木津川市役所,619-0286,木津川市木津南垣外110-9,0774-72-0501,http://www.city.kizugawa.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26303,大山崎町役場,618-8501,乙訓郡大山崎町字円明寺小字夏目3,075-956-2101,http://www.town.oyamazaki.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26322,久御山町役場,613-8585,久世郡久御山町島田ミスノ38,075-631-6111,http://www.town.kumiyama.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26343,井手町役場,610-0302,綴喜郡井手町大字井手小字東高月8,0774-82-2001,http://www.town.ide.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26344,宇治田原町役場,610-0289,綴喜郡宇治田原町大字立川小字坂口18-1,0774-88-2250,http://www.town.ujitawara.kyoto.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26364,笠置町役場,619-1393,相楽郡笠置町大字笠置小字西通90-1,0743-95-2301,http://www.town.kasagi.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
26365,和束町役場,619-1295,相楽郡和束町大字釜塚小字生水14-2,0774-78-3001,https://www.town.wazuka.lg.jp/,"https://www.pref.kyoto.jp/kourei-engo/13900025.html, https://www.pref.kyoto.jp/link.html",2026-07-07
