city_code,name,postal_code,address,phone,official_url,source_url,verified_at
24201,津市役所,514-8611,津市西丸之内23番1号,059-229-3275,http://www.info.city.tsu.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24202,四日市市役所,510-8601,四日市市諏訪町1番5号,059-354-8104,https://www.city.yokkaichi.lg.jp/www/index.html,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24203,伊勢市役所,516-8601,伊勢市岩渕1丁目7番29号,0596-23-1111,http://www.city.ise.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24204,松阪市役所,515-8515,松阪市殿町1340番地1,0598-53-4321,http://www.city.matsusaka.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24205,桑名市役所,511-8601,桑名市中央町二丁目37番地,0594-24-1131,http://www.city.kuwana.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24207,鈴鹿市役所,513-8701,鈴鹿市神戸一丁目18番18号,059-382-1100,http://www.city.suzuka.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24208,名張市役所,518-0492,名張市鴻之台1番町1番地,0595-63-7310,http://www.city.nabari.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24209,尾鷲市役所,519-3696,尾鷲市中央町10番43号,0597-23-8113,http://www.city.owase.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24210,亀山市役所,519-0195,亀山市本丸町577番地,0595-82-1111,http://www.city.kameyama.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24211,鳥羽市役所,517-0011,鳥羽市鳥羽三丁目1番1号,0599-25-1111,http://www.city.toba.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24212,熊野市役所,519-4392,熊野市井戸町796番地,0597-89-4111,http://www.city.kumano.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24214,いなべ市役所,511-0498,いなべ市北勢町阿下喜31番地,0594-86-7745,http://www.city.inabe.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24215,志摩市役所,517-0592,志摩市阿児町鵜方3098番地22,0599-44-0001,http://www.city.shima.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24216,伊賀市役所,518-8501,伊賀市四十九町3184番地,0595-22-9611,http://www.city.iga.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24303,木曽岬町役場,498-8503,桑名郡木曽岬町大字西対海地251番地,0567-68-6100,http://www.town.kisosaki.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24324,東員町役場,511-0295,員弁郡東員町大字山田1600番地,0594-86-2800,http://www.town.toin.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24341,菰野町役場,510-1292,三重郡菰野町大字潤田1250番地,059-391-1111,http://www2.town.komono.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24343,朝日町役場,510-8522,三重郡朝日町大字小向893番地,059-377-5651,http://www2.town.asahi.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24344,川越町役場,510-8588,三重郡川越町大字豊田一色280番地,059-366-7113,http://www.town.kawagoe.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24441,多気町役場,519-2181,多気郡多気町大字相可1600番地,0598-38-1111,http://www.town.taki.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24442,明和町役場,515-0332,多気郡明和町大字馬之上945番地,0596-52-7111,http://www.town.meiwa.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24443,大台町役場,519-2404,多気郡大台町佐原750番地,0598-82-3781,http://www.odaitown.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24461,玉城町役場,519-0495,度会郡玉城町田丸114番地2,0596-58-8200,https://kizuna.town.tamaki.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24470,度会町役場,516-2195,度会郡度会町棚橋1215番地1,0596-62-1111,http://www.town.watarai.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24471,大紀町役場,519-2703,度会郡大紀町滝原1610番地1,0598-86-2212,http://www.town.taiki.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24472,南伊勢町役場,516-0194,度会郡南伊勢町五ヶ所浦3057番地,0599-66-1111,http://www.town.minamiise.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24543,紀北町役場,519-3292,北牟婁郡紀北町東長島769番地1,0597-46-3111,http://www.town.mie-kihoku.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24561,御浜町役場,519-5292,南牟婁郡御浜町大字阿田和6120番地1,05979-3-0505,http://www.town.mihama.mie.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
24562,紀宝町役場,519-5701,南牟婁郡紀宝町鵜殿324番地,0735-33-0333,https://www.town.kiho.lg.jp/,"https://www.pref.mie.lg.jp/SHICHOS/HP/23057019610.htm,https://www.pref.mie.lg.jp/link/link1.htm",2026-07-07
