city_code,name,postal_code,address,phone,official_url,source_url,verified_at
42201,長崎市役所,850-8685,長崎市魚の町4-1,095-822-8888,https://www.city.nagasaki.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42202,佐世保市役所,857-8585,佐世保市八幡町1-10,0956-24-1111,https://www.city.sasebo.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42203,島原市役所,855-8555,島原市上の町537,0957-63-1111,http://www.city.shimabara.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42204,諫早市役所,854-8601,諫早市東小路町7-1,0957-22-1500,http://www.city.isahaya.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42205,大村市役所,856-8686,大村市玖島1-25,0957-53-4111,http://www.city.omura.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42207,平戸市役所,859-5192,平戸市岩の上町1508-3,0950-22-4111,http://www.city.hirado.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42208,松浦市役所,859-4598,松浦市志佐町里免365,0956-72-1111,http://www.city-matsuura.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42209,対馬市役所,817-8510,対馬市厳原町国分1441,0920-53-6111,http://www.city.tsushima.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42210,壱岐市役所,811-5192,壱岐市郷ノ浦町本村触562,0920-48-1111,http://www.city.iki.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42211,五島市役所,853-8501,五島市福江町1-1,0959-72-6111,https://www.city.goto.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42212,西海市役所,857-2392,西海市大瀬戸町瀬戸樫浦郷2222,0959-37-0011,http://www.city.saikai.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42213,雲仙市役所,859-1107,雲仙市吾妻町牛口名714,0957-38-3111,http://www.city.unzen.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42214,南島原市役所,859-2211,南島原市西有家町里坊96-2,0957-73-6600,http://www.city.minamishimabara.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42307,長与町役場,851-2185,西彼杵郡長与町嬉里郷659-1,095-883-1111,http://webtown.nagayo.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42308,時津町役場,851-2198,西彼杵郡時津町浦郷274-1,095-882-2211,http://www.town.togitsu.nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42321,東彼杵町役場,859-3808,東彼杵郡東彼杵町蔵本郷1850-6,0957-46-1111,https://www.town.higashisonogi.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42322,川棚町役場,859-3692,東彼杵郡川棚町中組郷1518-1,0956-82-3131,http://www.kawatana.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42323,波佐見町役場,859-3791,東彼杵郡波佐見町宿郷660,0956-85-2111,http://www.town.hasami.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42383,小値賀町役場,857-4701,北松浦郡小値賀町笛吹郷2376-1,0959-56-3111,https://www.town.ojika.lg.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42391,佐々町役場,857-0392,北松浦郡佐々町本田原免168-2,0956-62-2101,http://www.sazacho-nagasaki.jp/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
42411,新上五島町役場,857-4495,南松浦郡新上五島町青方郷1585-1,0959-53-1111,http://official.shinkamigoto.net/,"https://www.pref.nagasaki.jp/pages/page-31.html , https://www.pref.nagasaki.jp/doc/page-412855.html",2026-07-07
