city_code,name,postal_code,address,phone,official_url,source_url,verified_at
44201,大分市役所,870-8504,大分市荷揚町2番31号,097-534-6111,http://www.city.oita.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44202,別府市役所,874-8511,別府市上野口町1番15号,0977-21-1111,http://www.city.beppu.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44203,中津市役所,871-8501,中津市豊田町14番地3,0979-22-1111,http://www.city-nakatsu.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44204,日田市役所,877-8601,日田市田島2丁目6番1号,0973-23-3111,http://www.city.hita.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44205,佐伯市役所,876-8585,佐伯市中村南町1番1号,0972-22-3111,http://www.city.saiki.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44206,臼杵市役所,875-8501,臼杵市大字臼杵72番1,0972-63-1111,http://www.city.usuki.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44207,津久見市役所,879-2435,津久見市宮本町20番15号,0570-01-2934,http://www.city.tsukumi.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44208,竹田市役所,878-8555,竹田市大字会々1650番地,0974-63-1111,http://www.city.taketa.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44209,豊後高田市役所,879-0692,豊後高田市是永町39番地3,0978-22-3100,http://www.city.bungotakada.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44210,杵築市役所,873-0001,杵築市大字杵築377番地1,0978-62-3131,http://www.city.kitsuki.lg.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44211,宇佐市役所,879-0492,宇佐市大字上田1030番地の1,0978-32-1111,http://www.city.usa.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44212,豊後大野市役所,879-7198,豊後大野市三重町市場1200番地,0974-22-1001,http://www.bungo-ohno.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44213,由布市役所,879-5498,由布市庄内町柿原302番地,097-582-1111,http://www.city.yufu.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44214,国東市役所,873-0503,国東市国東町鶴川149番地,0978-72-1111,http://www.city.kunisaki.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44322,姫島村役場,872-1501,東国東郡姫島村1630番地の1,0978-87-2281,http://www.himeshima.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44341,日出町役場,879-1592,速見郡日出町2974番地1,0977-73-3111,http://www.town.hiji.lg.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44461,九重町役場,879-4895,玖珠郡九重町大字後野上8番地1,0973-76-2111,http://www.town.kokonoe.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
44462,玖珠町役場,879-4492,玖珠郡玖珠町大字帆足268番地の5,0973-72-1111,http://www.town.kusu.oita.jp/,https://www.pref.oita.jp/soshiki/75008/kennai-sityoson.html,2026-07-07
