city_code,name,postal_code,address,phone,official_url,source_url,verified_at
33100,岡山市役所,700-8544,岡山市北区大供1-1-1,086-803-1000,http://www.city.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33101,岡山市北区役所,700-8544,岡山市北区大供1-1-1,086-803-1000,https://www.city.okayama.jp/kitaku/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33102,岡山市中区役所,703-8544,岡山市中区浜3-7-15,086-803-1000,https://www.city.okayama.jp/nakaku/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33103,岡山市東区役所,704-8555,岡山市東区西大寺南1-2-4,086-803-1000,https://www.city.okayama.jp/higashiku/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33104,岡山市南区役所,702-8544,岡山市南区浦安南町495-5,086-803-1000,https://www.city.okayama.jp/minamiku/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33202,倉敷市役所,710-8565,倉敷市西中新田640,086-426-3030,http://www.city.kurashiki.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33203,津山市役所,708-8501,津山市山北520,0868-23-2111,https://www.city.tsuyama.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33204,玉野市役所,706-8510,玉野市宇野1-27-1,0863-32-5588,http://www.city.tamano.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33205,笠岡市役所,714-8601,笠岡市中央町1-1,0865-69-2121,http://www.city.kasaoka.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33207,井原市役所,715-8601,井原市井原町311-1,0866-62-9500,https://www.city.ibara.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33208,総社市役所,719-1192,総社市中央1-1-1,0866-92-8200,http://www.city.soja.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33209,高梁市役所,716-8501,高梁市松原通2043,0866-21-0200,https://www.city.takahashi.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33210,新見市役所,718-8501,新見市新見310-3,0867-72-6111,http://www.city.niimi.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33211,備前市役所,705-8602,備前市東片上126,0869-64-3301,http://www.city.bizen.okayama.jp/index.html,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33212,瀬戸内市役所,701-4292,瀬戸内市邑久町尾張300-1,0869-22-1111,http://www.city.setouchi.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33213,赤磐市役所,709-0898,赤磐市下市344,086-955-1111,http://www.city.akaiwa.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33214,真庭市役所,719-3292,真庭市久世2927-2,0867-42-1111,https://www.city.maniwa.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33215,美作市役所,707-8501,美作市美来1番地,0868-72-1111,http://www.city.mimasaka.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33216,浅口市役所,719-0295,浅口市鴨方町六条院中3050,0865-44-7000,http://www.city.asakuchi.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33346,和気町役場,709-0495,和気郡和気町尺所555,0869-93-1121,https://www.town.wake.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33423,早島町役場,701-0303,都窪郡早島町前潟360-1,086-482-0611,http://www.town.hayashima.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33445,里庄町役場,719-0398,浅口郡里庄町大字里見1107-2,0865-64-3111,http://www.town.satosho.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33461,矢掛町役場,714-1297,小田郡矢掛町矢掛3018,0866-82-1010,http://www.town.yakage.okayama.jp/index.html,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33586,新庄村役場,717-0201,真庭郡新庄村2008-1,0867-56-2626,http://www.vill.shinjo.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33606,鏡野町役場,708-0392,苫田郡鏡野町竹田660,0868-54-2111,http://www.town.kagamino.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33622,勝央町役場,709-4316,勝田郡勝央町勝間田201,0868-38-3111,http://www.town.shoo.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33623,奈義町役場,708-1392,勝田郡奈義町豊沢306-1,0868-36-4111,http://www.town.nagi.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33643,西粟倉村役場,707-0503,英田郡西粟倉村大字影石33-1,0868-79-2111,http://www.vill.nishiawakura.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33663,久米南町役場,709-3614,久米郡久米南町下弓削502-1,086-728-2111,https://www.town.kumenan.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33666,美咲町役場,709-3717,久米郡美咲町原田2144-1,0868-66-1111,http://www.town.misaki.okayama.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
33681,吉備中央町役場,716-1192,加賀郡吉備中央町豊野1-2,0866-54-1313,http://www.town.kibichuo.lg.jp/,"https://www.pref.okayama.jp/page/965881.html,https://www.pref.okayama.jp/uploaded/attachment/396315.pdf,https://www.pref.okayama.jp/page/1000.html",2026-07-07
