city_code,name,postal_code,address,phone,official_url,source_url,verified_at
47201,那覇市役所,900-8585,那覇市泉崎1丁目1番1号,098-867-0111,https://www.city.naha.okinawa.jp,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47205,宜野湾市役所,901-2710,宜野湾市野嵩1丁目1番1号,098-893-4411,https://www.city.ginowan.lg.jp/,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47207,石垣市役所,907-8501,石垣市字真栄里672番地,0980-82-9911,http://www.city.ishigaki.okinawa.jp/,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47208,浦添市役所,901-2501,浦添市安波茶一丁目一番一号,098-876-1234,http://www.city.urasoe.lg.jp,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47209,名護市役所,905-8540,名護市港一丁目1番1号,0980-53-1212,http://www.city.nago.okinawa.jp/,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47210,糸満市役所,901-0392,糸満市潮崎町1丁目1番地,098-840-8111,http://www.city.itoman.lg.jp/,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47211,沖縄市役所,904-8501,沖縄市仲宗根町26番1号,098-939-1212,http://www.city.okinawa.okinawa.jp/,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47212,豊見城市役所,901-0292,豊見城市宜保一丁目1番地1,098-850-0024,https://www.city.tomigusuku.lg.jp/,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47213,うるま市役所,904-2292,うるま市みどり町一丁目1番1号,098-974-3111,http://www.city.uruma.lg.jp,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47214,宮古島市役所,906-8501,宮古島市平良字西里1140番地,0980-72-3751,http://www.city.miyakojima.lg.jp,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47215,南城市役所,901-1495,南城市佐敷字新里1870番地,098-917-5309,http://www.city.nanjo.okinawa.jp,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
47301,国頭村役場,905-1495,国頭村字辺土名121番地,0980-41-2101,http://www.vill.kunigami.okinawa.jp,https://www.pref.okinawa.lg.jp/kensei/shinko/1016703/1016705/1027026/1016768.html (市町村別概要 令和4年3月版),2026-07-07
