city_code,name,postal_code,address,phone,official_url,source_url,verified_at
41201,佐賀市役所,840-8501,佐賀市栄町1番1号,0952-24-3151,https://www.city.saga.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41202,唐津市役所,847-8511,唐津市西城内1番1号,0955-72-9111,https://www.city.karatsu.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41203,鳥栖市役所,841-8511,鳥栖市宿町1118番地,0942-85-3500,https://www.city.tosu.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41204,多久市役所,846-8501,多久市北多久町大字小侍7-1,0952-75-2111,https://www.city.taku.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41205,伊万里市役所,848-8501,伊万里市立花町1355番地1,0955-23-2111,https://www.city.imari.saga.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41206,武雄市役所,843-8639,武雄市武雄町大字昭和12番地10,0954-23-9111,http://www.city.takeo.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41207,鹿島市役所,849-1312,鹿島市大字納富分2643番地1,0954-63-2111,https://www.city.saga-kashima.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41208,小城市役所,845-8511,小城市三日月町長神田2312番地2,0952-37-6111,https://www.city.ogi.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41209,嬉野市役所,849-1492,嬉野市塩田町大字馬場下甲1769番地,0954-66-3111,https://www.city.ureshino.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41210,神埼市役所,842-8601,神埼市神埼町鶴3542番地1,0952-52-1111,https://www.city.kanzaki.saga.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41327,吉野ヶ里町役場,842-8501,神埼郡吉野ヶ里町吉田321番地2,0952-53-1111,https://www.town.yoshinogari.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41341,基山町役場,841-0204,三養基郡基山町大字宮浦666番地,0942-92-2011,https://www.town.kiyama.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41345,上峰町役場,849-0123,三養基郡上峰町大字坊所383番地1,0952-52-2181,https://www.town.kamimine.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41346,みやき町役場,849-0113,三養基郡みやき町大字東尾737-5,0942-89-1651,https://www.town.miyaki.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41387,玄海町役場,847-1421,東松浦郡玄海町大字諸浦348番地,0955-52-2111,https://www.town.genkai.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41401,有田町役場,849-4192,西松浦郡有田町立部乙2202番地,0955-46-2111,https://www.town.arita.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41423,大町町役場,849-2101,杵島郡大町町大字大町5017番地,0952-82-3111,https://www.town.omachi.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41424,江北町役場,849-0592,杵島郡江北町大字山口1651番地1,0952-86-2111,https://www.town.kouhoku.saga.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41425,白石町役場,849-1192,杵島郡白石町大字福田1247番地1,0952-84-2111,https://www.town.shiroishi.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
41441,太良町役場,849-1698,藤津郡太良町大字多良1番地6,0954-67-0311,https://www.town.tara.lg.jp/,"https://www.pref.saga.lg.jp/kiji0034791/index.html,各市町公式サイト",2026-07-07
