city_code,name,postal_code,address,phone,official_url,source_url,verified_at
11100,さいたま市役所,330-9588,さいたま市浦和区常盤6-4-4,048-829-1111,http://www.city.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11101,さいたま市西区役所,331-8587,さいたま市西区西大宮3-4-2,048-622-1111,https://www.city.saitama.lg.jp/nishi/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11102,さいたま市北区役所,331-8586,さいたま市北区宮原町1-852-1,048-653-1111,https://www.city.saitama.lg.jp/kita/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11103,さいたま市大宮区役所,330-8501,さいたま市大宮区吉敷町1-124-1,048-657-0111,https://www.city.saitama.lg.jp/omiya/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11104,さいたま市見沼区役所,337-8586,さいたま市見沼区堀崎町12-36,048-687-1111,https://www.city.saitama.lg.jp/minuma/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11105,さいたま市中央区役所,338-8686,さいたま市中央区下落合5-7-10,048-856-1111,https://www.city.saitama.lg.jp/chuo/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11106,さいたま市桜区役所,338-8586,さいたま市桜区道場4-3-1,048-858-1111,https://www.city.saitama.lg.jp/sakura/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11107,さいたま市浦和区役所,330-9586,さいたま市浦和区常盤6-4-4,048-825-1111,https://www.city.saitama.lg.jp/urawa/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11108,さいたま市南区役所,336-8586,さいたま市南区別所7-20-1,048-838-1111,https://www.city.saitama.lg.jp/minami/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11109,さいたま市緑区役所,336-8587,さいたま市緑区大字中尾975-1,048-874-1111,https://www.city.saitama.lg.jp/midori/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11110,さいたま市岩槻区役所,339-8585,さいたま市岩槻区本町3-2-5,048-790-0111,https://www.city.saitama.lg.jp/iwatsuki/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11201,川越市役所,350-8601,川越市元町1-3-1,049-224-8811,http://www.city.kawagoe.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11202,熊谷市役所,360-8601,熊谷市宮町2-47-1,048-524-1111,http://www.city.kumagaya.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11203,川口市役所,332-8601,川口市青木2-1-1,048-258-1110,https://www.city.kawaguchi.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11206,行田市役所,361-8601,行田市本丸2-5,048-556-1111,http://www.city.gyoda.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11207,秩父市役所,368-8686,秩父市熊木町8-15,0494-22-2211,http://www.city.chichibu.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11208,所沢市役所,359-8501,所沢市並木1-1-1,04-2998-1111,http://www.city.tokorozawa.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11209,飯能市役所,357-8501,飯能市大字双柳1-1,042-973-2111,https://www.city.hanno.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11210,加須市役所,347-8501,加須市三俣2-1-1,0480-62-1111,https://www.city.kazo.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11211,本庄市役所,367-8501,本庄市本庄3-5-3,0495-25-1111,http://www.city.honjo.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11212,東松山市役所,355-8601,東松山市松葉町1-1-58,0493-23-2221,http://www.city.higashimatsuyama.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11214,春日部市役所,344-8577,春日部市中央7-2-1,048-736-1111,http://www.city.kasukabe.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11215,狭山市役所,350-1380,狭山市入間川1-23-5,04-2953-1111,http://www.city.sayama.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11216,羽生市役所,348-8601,羽生市東6-15,048-561-1121,http://www.city.hanyu.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11217,鴻巣市役所,365-8601,鴻巣市中央1-1,048-541-1321,http://www.city.kounosu.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11218,深谷市役所,366-8501,深谷市仲町11-1,048-571-1211,http://www.city.fukaya.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11219,上尾市役所,362-8501,上尾市本町3-1-1,048-775-5111,http://www.city.ageo.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11221,草加市役所,340-8550,草加市高砂1-1-1,048-922-0151,http://www.city.soka.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11222,越谷市役所,343-8501,越谷市越ヶ谷4-2-1,048-964-2111,http://www.city.koshigaya.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11223,蕨市役所,335-8501,蕨市中央5-14-15,048-432-3200,http://www.city.warabi.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11224,戸田市役所,335-8588,戸田市上戸田1-18-1,048-441-1800,http://www.city.toda.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11225,入間市役所,358-8511,入間市豊岡1-16-1,04-2964-1111,http://www.city.iruma.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11227,朝霞市役所,351-8501,朝霞市本町1-1-1,048-463-1111,http://www.city.asaka.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11228,志木市役所,353-8501,志木市中宗岡1-1-1,048-473-1111,http://www.city.shiki.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11229,和光市役所,351-0192,和光市広沢1-5,048-464-1111,http://www.city.wako.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11230,新座市役所,352-8623,新座市野火止1-1-1,048-477-1111,http://www.city.niiza.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11231,桶川市役所,363-8501,桶川市泉1-3-28,048-786-3211,http://www.city.okegawa.lg.jp/index.html,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11232,久喜市役所,346-8501,久喜市下早見85-3,0480-22-1111,http://www.city.kuki.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11233,北本市役所,364-8633,北本市本町1-111,048-591-1111,https://www.city.kitamoto.lg.jp/index.html,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11234,八潮市役所,340-8588,八潮市中央1-2-1,048-996-2111,http://www.city.yashio.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11235,富士見市役所,354-8511,富士見市大字鶴馬1800-1,049-251-2711,http://www.city.fujimi.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11237,三郷市役所,341-8501,三郷市花和田648-1,048-953-1111,http://www.city.misato.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11238,蓮田市役所,349-0193,蓮田市大字黒浜2799-1,048-768-3111,http://www.city.hasuda.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11239,坂戸市役所,350-0292,坂戸市千代田1-1-1,049-283-1331,http://www.city.sakado.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11240,幸手市役所,340-0192,幸手市東4-6-8,0480-43-1111,https://www.city.satte.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11241,鶴ヶ島市役所,350-2292,鶴ヶ島市大字三ツ木16-1,049-271-1111,http://www.city.tsurugashima.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11242,日高市役所,350-1292,日高市大字南平沢1020,042-989-2111,http://www.city.hidaka.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11243,吉川市役所,342-8501,吉川市きよみ野1-1,048-982-5111,http://www.city.yoshikawa.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11245,ふじみ野市役所,356-8501,ふじみ野市福岡1-1-1,049-261-2611,http://www.city.fujimino.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11246,白岡市役所,349-0292,白岡市千駄野432,0480-92-1111,http://www.city.shiraoka.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11301,伊奈町役場,362-8517,伊奈町中央4-355,048-721-2111,http://www.town.saitama-ina.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11324,三芳町役場,354-8555,三芳町大字藤久保1100-1,049-258-0019,http://www.town.saitama-miyoshi.lg.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11326,毛呂山町役場,350-0493,毛呂山町中央2-1,049-295-2112,http://www.town.moroyama.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11327,越生町役場,350-0494,越生町大字越生900-2,049-292-3121,http://www.town.ogose.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11341,滑川町役場,355-8585,滑川町大字福田750-1,0493-56-2211,http://www.town.namegawa.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11342,嵐山町役場,355-0211,嵐山町大字杉山1030-1,0493-62-2150,http://www.town.ranzan.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11343,小川町役場,355-0392,小川町大字大塚55,0493-72-1221,http://www.town.ogawa.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11346,川島町役場,350-0192,川島町大字下八ツ林870-1,049-297-1811,http://www.town.kawajima.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11347,吉見町役場,355-0192,吉見町大字下細谷411,0493-54-1511,http://www.town.yoshimi.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
11348,鳩山町役場,350-0392,鳩山町大字大豆戸184-16,049-296-1211,http://www.town.hatoyama.saitama.jp/,https://www.pref.saitama.lg.jp/a0107/jyuuminnokatahe/sityousondate.html,2026-07-05
