city_code,name,postal_code,address,phone,official_url,source_url,verified_at
25201,大津市役所,520-8575,大津市御陵町3-1,077-523-1234,http://www.city.otsu.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25202,彦根市役所,522-8501,彦根市元町4-2,0749-22-1411,https://www.city.hikone.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25203,長浜市役所,526-8501,長浜市八幡東町632,0749-62-4111,https://www.city.nagahama.lg.jp,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25204,近江八幡市役所,523-8501,近江八幡市桜宮町236,0748-33-3111,https://www.city.omihachiman.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25206,草津市役所,525-8588,草津市草津三丁目13-30,077-563-1234,http://www.city.kusatsu.shiga.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25207,守山市役所,524-8585,守山市吉身二丁目5-22,077-583-2525,http://www.city.moriyama.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25208,栗東市役所,520-3088,栗東市安養寺一丁目13-33,077-553-1234,http://www.city.ritto.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25209,甲賀市役所,528-8502,甲賀市水口町水口6053,0748-65-0650,https://www.city.koka.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25210,野洲市役所,520-2395,野洲市小篠原2100-1,077-587-1121,http://www.city.yasu.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25211,湖南市役所,520-3288,湖南市中央一丁目1,0748-72-1290,http://www.city.konan.shiga.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25212,高島市役所,520-1592,高島市新旭町北畑565,0740-25-8000,https://www.city.takashima.lg.jp/index.html,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25213,東近江市役所,527-8527,東近江市八日市緑町10-5,0748-24-1234,http://www.city.higashiomi.shiga.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25214,米原市役所,521-8501,米原市米原1016,0749-53-5100,http://www.city.maibara.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25383,日野町役場,529-1698,蒲生郡日野町河原1-1,0748-52-1211,http://www.town.shiga-hino.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25384,竜王町役場,520-2592,蒲生郡竜王町小口3,0748-58-3700,http://www.town.ryuoh.shiga.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25425,愛荘町役場,529-1380,愛知郡愛荘町愛知川72,0749-42-4111,http://www.town.aisho.shiga.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25441,豊郷町役場,529-1169,犬上郡豊郷町石畑375,0749-35-8111,http://www.town.toyosato.shiga.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25442,甲良町役場,522-0244,犬上郡甲良町在士353-1,0749-38-3311,http://www.kouratown.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
25443,多賀町役場,522-0341,犬上郡多賀町多賀324,0749-48-8111,http://www.town.taga.lg.jp/,"https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/320154.html,https://www.pref.shiga.lg.jp/kensei/gaiyou/shicyou/20959.html",2026-07-07
