city_code,name,postal_code,address,phone,official_url,source_url,verified_at
22100,静岡市役所,420-8602,静岡市葵区追手町5番1号,054-254-2111,https://www.city.shizuoka.lg.jp/,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22101,静岡市葵区役所,420-8602,静岡市葵区追手町5番1号,054-254-2111,https://www.city.shizuoka.lg.jp/p018649.html,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22102,静岡市駿河区役所,422-8550,静岡市駿河区南八幡町10番40号,054-202-5811,https://www.city.shizuoka.lg.jp/p018650.html,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22103,静岡市清水区役所,424-0822,静岡市清水区旭町6番8号,054-354-2023,https://www.city.shizuoka.lg.jp/p018651.html,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22130,浜松市役所,430-8652,浜松市中央区元城町103番地の2,053-457-2111,https://www.city.hamamatsu.shizuoka.jp/,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22138,浜松市中央区役所,430-8652,浜松市中央区元城町103番地の2,053-457-2111,https://www.city.hamamatsu.shizuoka.jp/maps/c-ward.html,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22139,浜松市浜名区役所,434-8550,浜松市浜名区貴布祢3000番地,053-587-3111,https://www.city.hamamatsu.shizuoka.jp/maps/hk-ward.html,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22140,浜松市天竜区役所,431-3392,浜松市天竜区二俣町二俣481番地,053-926-1111,https://www.city.hamamatsu.shizuoka.jp/maps/t-ward.html,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22203,沼津市役所,410-8601,沼津市御幸町16番1号,055-931-2500,http://www.city.numazu.shizuoka.jp/,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22205,熱海市役所,413-8550,熱海市中央町1-1,0557-86-6000,https://www.city.atami.lg.jp/,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
22206,三島市役所,411-8666,三島市北田町4-47,055-975-3111,https://www.city.mishima.shizuoka.jp/,"https://www.pref.shizuoka.jp/kensei/shichozaisei/1044883/1012124.html,https://www.pref.shizuoka.jp/kensei/link/1007806.html,https://www.city.shizuoka.lg.jp/p018649.html,https://www.city.hamamatsu.shizuoka.jp/shisetsu-annai/shiyakusho/",2026-07-07
