date,views,views_unique,clones,clones_unique
2026-06-23,0,0,0,0
2026-06-24,0,0,0,0
2026-06-25,0,0,0,0
2026-06-26,0,0,0,0
2026-06-27,0,0,0,0
2026-06-28,0,0,0,0
2026-06-29,0,0,0,0
2026-06-30,0,0,0,0
2026-07-01,0,0,0,0
2026-07-02,0,0,0,0
2026-07-03,0,0,0,0
2026-07-04,0,0,0,0
2026-07-05,0,0,0,0
2026-07-06,10,1,48,29
2026-07-07,2,1,33,20
2026-07-08,0,0,2,2
2026-07-09,1,1,2,2
2026-07-10,0,0,18,17
2026-07-11,0,0,1,1
2026-07-12,0,0,11,7
2026-07-13,0,0,3,3
2026-07-14,0,0,7,7
2026-07-15,0,0,0,0
2026-07-16,0,0,0,0
2026-07-17,0,0,1,1
2026-07-18,0,0,0,0
2026-07-19,0,0,3,3
2026-07-20,0,0,2,2
2026-07-21,0,0,2,2
2026-07-22,0,0,3,3
2026-07-23,0,0,1,1
2026-07-24,1,1,1,1
2026-07-25,0,0,1,1
2026-07-26,0,0,9,6
2026-07-27,0,0,0,0
2026-07-28,0,0,1,1
2026-07-29,0,0,0,0
2026-07-30,2,2,1,1
2026-07-31,0,0,1,1
2026-08-01,0,0,0,0
2026-08-02,0,0,3,3
2026-08-03,0,0,0,0
2026-08-04,1,1,3,3
2026-08-05,1,1,0,0
2026-08-06,0,0,1,1
2026-08-07,0,0,0,0
2026-08-08,0,0,2,2
2026-08-09,0,0,3,3
2026-08-10,0,0,1,1
2026-08-11,0,0,0,0
2026-08-12,1,1,2,2
2026-08-13,0,0,2,2
2026-08-14,1,1,1,1
2026-08-15,2,2,0,0
2026-08-16,1,1,2,2
2026-08-17,0,0,2,2
2026-08-18,0,0,1,1
2026-08-19,6,1,2,2
2026-08-20,2,2,1,1
2026-08-21,8,8,2,2
2026-08-22,2,2,0,0
2026-08-23,5,5,3,3
2026-08-24,2,2,2,2
2026-08-25,2,2,1,1
2026-08-26,0,0,0,0
2026-08-27,1,1,0,0
2026-08-28,0,0,1,1
2026-08-29,0,0,0,0
2026-08-30,0,0,3,3
2026-08-31,0,0,1,1
2026-09-01,6,2,0,0
2026-09-02,1,1,2,2
2026-09-03,1,1,1,1
2026-09-04,5,2,0,0
2026-09-05,0,0,1,1
