city_code,name,postal_code,address,phone,official_url,source_url,verified_at
09201,宇都宮市役所,320-8540,宇都宮市旭1丁目1-5,028-632-2222,https://www.city.utsunomiya.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09202,足利市役所,326-8601,足利市本城3丁目2145番地,0284-20-2222,https://www.city.ashikaga.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09203,栃木市役所,328-8686,栃木市万町9番25号,0282-22-3535,https://www.city.tochigi.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09204,佐野市役所,327-8501,佐野市高砂町1番地,0283-24-5111,https://www.city.sano.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09205,鹿沼市役所,322-8601,鹿沼市今宮町1688-1,0289-64-2111,https://www.city.kanuma.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09206,日光市役所,321-1292,日光市今市本町1番地,0288-22-1111,https://www.city.nikko.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09208,小山市役所,323-8686,小山市中央町1丁目1番1号,0285-23-1111,https://www.city.oyama.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09209,真岡市役所,321-4395,真岡市荒町5191番地,0285-82-1111,https://www.city.moka.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09210,大田原市役所,324-8641,大田原市本町1丁目4番1号,0287-23-1111,https://www.city.ohtawara.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09211,矢板市役所,329-2192,矢板市本町5番4号,0287-43-1111,https://www.city.yaita.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09213,那須塩原市役所,325-8501,那須塩原市共墾社108番地2,0287-62-7111,https://www.city.nasushiobara.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09214,さくら市役所,329-1392,さくら市氏家2771番地,028-681-1111,https://www.city.tochigi-sakura.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09215,那須烏山市役所,321-0692,那須烏山市中央1丁目1番1号,0287-83-1111,https://www.city.nasukarasuyama.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09216,下野市役所,329-0492,下野市笹原26番地,0285-32-8888,https://www.city.shimotsuke.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09301,上三川町役場,329-0696,河内郡上三川町しらさぎ一丁目1番地,0285-56-9111,https://www.town.kaminokawa.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09342,益子町役場,321-4293,芳賀郡益子町大字益子2030番地,0285-72-2111,https://www.town.mashiko.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09343,茂木町役場,321-3598,芳賀郡茂木町大字茂木155番地,0285-63-1111,https://www.town.motegi.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09344,市貝町役場,321-3493,芳賀郡市貝町大字市塙1280,0285-68-1111,https://www.town.ichikai.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09345,芳賀町役場,321-3392,芳賀郡芳賀町祖母井1020,028-677-1111,https://www.town.tochigi-haga.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09361,壬生町役場,321-0292,下都賀郡壬生町大字壬生甲3841番地1,0282-81-1806,https://www.town.mibu.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09364,野木町役場,329-0195,下都賀郡野木町大字丸林571,0280-57-4111,https://www.town.nogi.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09384,塩谷町役場,329-2292,塩谷郡塩谷町大字玉生955番地3,0287-45-1111,https://www.town.shioya.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09386,高根沢町役場,329-1292,塩谷郡高根沢町大字石末2053,028-675-8100,https://www.town.takanezawa.tochigi.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09407,那須町役場,329-3292,那須郡那須町大字寺子丙3-13,0287-72-6901,https://www.town.nasu.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
09411,那珂川町役場,324-0692,那須郡那珂川町馬頭555番地,0287-92-1111,https://www.town.tochigi-nakagawa.lg.jp/,https://www.pref.tochigi.lg.jp/c05/intro/tochigi/link/lkshityouson.html,2026-07-06
