city_code,name,postal_code,address,phone,official_url,source_url,verified_at
36201,徳島市役所,770-8571,徳島市幸町2-5,088-621-5111,https://www.city.tokushima.tokushima.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36202,鳴門市役所,772-8501,鳴門市撫養町南浜字東浜170,088-684-1111,https://www.city.naruto.tokushima.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36203,小松島市役所,773-8501,小松島市横須町1-1,0885-32-2111,https://www.city.komatsushima.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36204,阿南市役所,774-8501,阿南市富岡町トノ町12-3,0884-22-1111,https://www.city.anan.tokushima.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36205,吉野川市役所,776-8611,吉野川市鴨島町鴨島115-1,0883-22-2222,https://www.city.yoshinogawa.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36206,阿波市役所,771-1695,阿波市市場町切幡字古田201番地1,0883-36-8700,https://www.city.awa.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36207,美馬市役所,777-8577,美馬市穴吹町穴吹字九反地5,0883-52-1212,https://www.city.mima.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36208,三好市役所,778-8501,三好市池田町サラダ1610番地1,0883-72-7600,https://www.miyoshi.i-tokushima.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36301,勝浦町役場,771-4395,勝浦郡勝浦町大字久国字久保田3,0885-42-2511,http://www.town.katsuura.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36302,上勝町役場,771-4501,勝浦郡上勝町大字福原字下横峯3-1,0885-46-0111,http://www.kamikatsu.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36321,佐那河内村役場,771-4195,名東郡佐那河内村下字西ノハナ31番地,088-679-2111,https://www.vill.sanagochi.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36341,石井町役場,779-3295,名西郡石井町高川原字高川原121-1,088-674-1111,https://www.town.ishii.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36342,神山町役場,771-3395,名西郡神山町神領字本野間100,088-676-1111,https://www.town.kamiyama.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36368,那賀町役場,771-5295,那賀郡那賀町和食郷字南川104-1,0884-62-1121,https://www.town.tokushima-naka.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36383,牟岐町役場,775-8570,海部郡牟岐町大字中村字本村7-4,0884-72-1111,https://www.town.tokushima-mugi.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36387,美波町役場,779-2395,海部郡美波町奥河内字本村18-1,0884-77-1111,https://www.town.minami.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36388,海陽町役場,775-0295,海部郡海陽町大里字上中須128,0884-73-1234,https://www.town.kaiyo.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36401,松茂町役場,771-0295,板野郡松茂町広島字東裏30,088-699-2111,https://www.town.matsushige.tokushima.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36402,北島町役場,771-0285,板野郡北島町中村字上地23-1,088-698-9801,https://www.town.kitajima.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36403,藍住町役場,771-1292,板野郡藍住町奥野字矢上前52-1,088-637-3111,https://www.town.aizumi.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36404,板野町役場,779-0192,板野郡板野町吹田字町南22-2,088-672-5980,http://www.town.itano.tokushima.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36405,上板町役場,771-1392,板野郡上板町七條字経塚42,088-694-3111,https://www.townkamiita.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36468,つるぎ町役場,779-4195,美馬郡つるぎ町貞光字東浦1-3,0883-62-3111,https://www.town.tokushima-tsurugi.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
36489,東みよし町役場,779-4795,三好郡東みよし町加茂3360,0883-82-2100,https://www.town.higashimiyoshi.lg.jp/,https://www.pref.tokushima.lg.jp/kenseijoho/kanrennochiiki/shichouson/,2026-07-07
