city_code,name,postal_code,address,phone,official_url,source_url,verified_at
16201,富山市役所,930-8510,富山市新桜町7番38号,076-431-6111,https://www.city.toyama.toyama.jp/,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16202,高岡市役所,933-8601,高岡市広小路7番50号,0766-20-1111,https://www.city.takaoka.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16204,魚津市役所,937-8555,魚津市釈迦堂一丁目10番1号,0765-23-1010,https://www.city.uozu.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16205,氷見市役所,935-8686,氷見市鞍川1060番地,0766-74-8100,https://www.city.himi.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16206,滑川市役所,936-8601,滑川市寺家町104番地,076-475-2111,https://www.city.namerikawa.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16207,黒部市役所,938-8555,黒部市三日市1301番地,0765-54-2111,https://www.city.kurobe.toyama.jp/,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16208,砺波市役所,939-1398,砺波市栄町7番3号,0763-33-1111,https://www.city.tonami.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16209,小矢部市役所,932-8611,小矢部市本町1番1号,0766-67-1760,https://www.city.oyabe.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16210,南砺市役所,939-1692,南砺市荒木1550番地,0763-23-2003,https://www.city.nanto.toyama.jp/,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16211,射水市役所,939-0294,射水市新開発410番地1,0766-51-6600,https://www.city.imizu.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16321,舟橋村役場,930-0295,中新川郡舟橋村仏生寺55番地,076-464-1121,https://www.vill.funahashi.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16322,上市町役場,930-0393,中新川郡上市町法音寺1番地,076-472-1111,https://www.town.kamiichi.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16323,立山町役場,930-0292,中新川郡立山町前沢2440番地,076-463-1121,https://www.town.tateyama.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16342,入善町役場,939-0693,下新川郡入善町入膳423番地,0765-72-1100,https://www.town.nyuzen.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
16343,朝日町役場,939-0793,下新川郡朝日町道下1133番地,0765-83-1100,https://www.town.asahi.toyama.jp,"https://www.pref.toyama.jp/1021/kensei/kenseiunei/kensei/gaiyou/profile/city.html , https://www.pref.toyama.jp/documents/29650/youranr7.pdf",2026-07-07
