city_code,name,postal_code,address,phone,official_url,source_url,verified_at
06201,山形市役所,990-8540,山形市旅篭町二丁目3番25号,023-641-1212,http://www.city.yamagata-yamagata.lg.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06202,米沢市役所,992-8501,米沢市金池五丁目2番25号,0238-22-5111,http://www.city.yonezawa.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06203,鶴岡市役所,997-8601,鶴岡市馬場町9番25号,0235-25-2111,http://www.city.tsuruoka.lg.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06204,酒田市役所,998-8540,酒田市本町二丁目2番45号,0234-22-5111,http://www.city.sakata.lg.jp,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06205,新庄市役所,996-8501,新庄市沖の町10番37号,0233-22-2111,http://www.city.shinjo.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06206,寒河江市役所,991-8601,寒河江市中央一丁目9番45号,0237-86-2111,http://www.city.sagae.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06207,上山市役所,999-3192,上山市河崎一丁目1番10号,023-672-1111,http://www.city.kaminoyama.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06208,村山市役所,995-8666,村山市中央一丁目3番6号,0237-55-2111,http://www.city.murayama.lg.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06209,長井市役所,993-8601,長井市栄町1番1号,0238-84-2111,http://www.city.nagai.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06210,天童市役所,994-8510,天童市老野森一丁目1番1号,023-654-1111,http://www.city.tendo.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06211,東根市役所,999-3795,東根市中央一丁目1番1号,0237-42-1111,http://www.city.higashine.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06212,尾花沢市役所,999-4292,尾花沢市若葉町一丁目2番3号,0237-22-1111,http://www.city.obanazawa.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06213,南陽市役所,999-2292,南陽市三間通436番地の1,0238-40-3211,http://www.city.nanyo.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06301,山辺町役場,990-0392,東村山郡山辺町緑ヶ丘5番地,023-667-1111,http://www.town.yamanobe.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06302,中山町役場,990-0492,東村山郡中山町大字長崎120番地,023-662-2111,http://www.town.nakayama.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06321,河北町役場,999-3511,西村山郡河北町谷地戊81番地,0237-73-2111,http://www.town.kahoku.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06322,西川町役場,990-0792,西村山郡西川町大字海味510番地,0237-74-2111,http://www.town.nishikawa.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06323,朝日町役場,990-1442,西村山郡朝日町大字宮宿1115番地,0237-67-2111,http://www.town.asahi.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06324,大江町役場,990-1101,西村山郡大江町大字左沢882番地の1,0237-62-2111,http://www.town.oe.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06341,大石田町役場,999-4112,北村山郡大石田町緑町1番地,0237-35-2111,http://www.town.oishida.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06361,金山町役場,999-5402,最上郡金山町大字金山324番地の1,0233-52-2111,http://www.town.kaneyama.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06362,最上町役場,999-6101,最上郡最上町大字向町644番地,0233-43-2111,http://town.mogami.lg.jp,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06363,舟形町役場,999-4601,最上郡舟形町舟形263番地,0233-32-2111,http://www.town.funagata.yamagata.jp/,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
06364,真室川町役場,999-5312,最上郡真室川町大字新町124番地の4,0233-62-2111,https://www.town.mamurogawa.yamagata.jp/index.html,https://www.pref.yamagata.jp/020024/kensei/information/gaiyo/murayama/index.html,2026-07-07
