city_code,name,postal_code,address,phone,official_url,source_url,verified_at
35201,下関市役所,750-8521,下関市南部町1番1号,083-231-1111,http://www.city.shimonoseki.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35202,宇部市役所,755-8601,宇部市常盤町一丁目7番1号,0836-31-4111,http://www.city.ube.yamaguchi.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35203,山口市役所,753-8650,山口市亀山町2番1号,083-922-4111,http://www.city.yamaguchi.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35204,萩市役所,758-8555,萩市大字江向510番地,0838-25-3131,http://www.city.hagi.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35206,防府市役所,747-8501,防府市寿町7番1号,0835-23-2111,http://www.city.hofu.yamaguchi.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35207,下松市役所,744-8585,下松市大手町三丁目3番3号,0833-45-1700,http://www.city.kudamatsu.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35208,岩国市役所,740-8585,岩国市今津町一丁目14番51号,0827-29-5000,http://www.city.iwakuni.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35210,光市役所,743-8501,光市中央六丁目1番1号,0833-72-1400,https://www.city.hikari.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35211,長門市役所,759-4192,長門市東深川1339番地2,0837-22-2111,http://www.city.nagato.yamaguchi.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35212,柳井市役所,742-8714,柳井市南町一丁目10番2号,0820-22-2111,http://www.city-yanai.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35213,美祢市役所,759-2292,美祢市大嶺町東分326番地1,0837-52-1110,http://www2.city.mine.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35215,周南市役所,745-8655,周南市岐山通一丁目1番地,0834-22-8211,http://www.city.shunan.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35216,山陽小野田市役所,756-8601,山陽小野田市日の出一丁目1番1号,0836-82-1111,http://www.city.sanyo-onoda.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35305,周防大島町役場,742-2192,大島郡周防大島町小松126番地2,0820-74-1000,http://www.town.suo-oshima.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35321,和木町役場,740-8501,玖珂郡和木町和木一丁目1番1号,0827-52-2135,http://www.town.waki.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35341,上関町役場,742-1402,熊毛郡上関町大字長島448番地,0820-62-0311,http://www.town.kaminoseki.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35343,田布施町役場,742-1592,熊毛郡田布施町大字下田布施3440番地1,0820-52-2111,http://www.town.tabuse.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35344,平生町役場,742-1195,熊毛郡平生町大字平生町210番地1,0820-56-7111,http://www.town.hirao.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
35502,阿武町役場,759-3622,阿武郡阿武町大字奈古2636番地,08388-2-3110,http://www.town.abu.lg.jp/,"https://www.pref.yamaguchi.lg.jp/soshiki/31/14948.html , https://www.pref.yamaguchi.lg.jp/soshiki/21/26969.html",2026-07-07
