city_code,name,postal_code,address,phone,official_url,source_url,verified_at
19201,甲府市役所,400-8585,甲府市丸の内一丁目18番1号,055-237-1161,https://www.city.kofu.yamanashi.jp/top.html,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19202,富士吉田市役所,403-8601,富士吉田市下吉田6丁目1-1,0555-22-1111,https://www.city.fujiyoshida.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19204,都留市役所,402-8501,都留市上谷1-1-1,0554-43-1111,https://www.city.tsuru.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19205,山梨市役所,405-8501,山梨市小原西843,0553-22-1111,https://www.city.yamanashi.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19206,大月市役所,401-8601,大月市大月2丁目6-20,0554-22-2111,https://www.city.otsuki.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19207,韮崎市役所,407-8501,韮崎市水神一丁目3番1号,0551-22-1111,https://www.city.nirasaki.lg.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19208,南アルプス市役所,400-0395,南アルプス市小笠原376,055-282-1111,https://www.city.minami-alps.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19209,北杜市役所,408-0188,北杜市須玉町大豆生田961-1,0551-42-1111,https://www.city.hokuto.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19210,甲斐市役所,400-0192,甲斐市篠原2610番地,055-276-2111,https://www.city.kai.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19211,笛吹市役所,406-8510,笛吹市石和町市部777,055-262-4111,https://www.city.fuefuki.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19212,上野原市役所,409-0192,上野原市上野原3832,0554-62-3111,https://www.city.uenohara.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19213,甲州市役所,404-8501,甲州市塩山上於曽1085番地1,0553-32-2111,https://www.city.koshu.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19214,中央市役所,409-3892,中央市臼井阿原301番地1,055-274-1111,https://www.city.chuo.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19346,市川三郷町役場,409-3601,西八代郡市川三郷町市川大門1790-3,055-272-1101,https://www.town.ichikawamisato.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19364,早川町役場,409-2732,南巨摩郡早川町高住758,0556-45-2511,https://www.town.hayakawa.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19365,身延町役場,409-3392,南巨摩郡身延町切石350,0556-42-2111,https://www.town.minobu.lg.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19366,南部町役場,409-2192,南巨摩郡南部町福士28505番地2,0556-66-2111,https://www.town.nanbu.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19368,富士川町役場,400-0592,南巨摩郡富士川町天神中條1134,0556-22-1111,https://www.town.fujikawa.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19384,昭和町役場,409-3880,中巨摩郡昭和町押越542-2,055-275-2111,https://www.town.showa.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19422,道志村役場,402-0209,南都留郡道志村6181番地1,0554-52-2111,http://www.vill.doshi.lg.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19423,西桂町役場,403-0022,南都留郡西桂町小沼1500-1,0555-25-2121,https://www.town.nishikatsura.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19424,忍野村役場,401-0592,南都留郡忍野村忍草1514,0555-84-3111,https://www.vill.oshino.lg.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19425,山中湖村役場,401-0595,南都留郡山中湖村山中237-1,0555-62-1111,https://www.vill.yamanakako.lg.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19429,鳴沢村役場,401-0398,南都留郡鳴沢村1575番地,0555-85-2311,https://www.vill.narusawa.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19430,富士河口湖町役場,401-0392,南都留郡富士河口湖町船津1700番地,0555-72-1111,https://www.town.fujikawaguchiko.lg.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19442,小菅村役場,409-0211,北都留郡小菅村4698番地,0428-87-0111,http://www.vill.kosuge.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
19443,丹波山村役場,409-0300,北都留郡丹波山村2450,0428-88-0211,https://www.vill.tabayama.yamanashi.jp/,https://www.pref.yamanashi.jp/shichoson/shichoson-address.html,2026-07-06
